Start time UTC,End time UTC,Wind Turbine (MWh/h)
2023/1/7 11:00,2023/1/7 12:00,3424
2023/1/7 12:00,2023/1/7 13:00,3414
2023/1/7 13:00,2023/1/7 14:00,3498
2023/1/7 14:00,2023/1/7 15:00,3607
2023/1/7 15:00,2023/1/7 16:00,3688
2023/1/7 16:00,2023/1/7 17:00,3628
2023/1/7 17:00,2023/1/7 18:00,3669
2023/1/7 18:00,2023/1/7 19:00,3744
2023/1/7 19:00,2023/1/7 20:00,3713
2023/1/7 20:00,2023/1/7 21:00,3626
2023/1/7 21:00,2023/1/7 22:00,3657
2023/1/7 22:00,2023/1/7 23:00,3690
2023/1/7 23:00,2023/1/8 0:00,3620
2023/1/8 0:00,2023/1/8 1:00,3596
2023/1/8 1:00,2023/1/8 2:00,3612
2023/1/8 2:00,2023/1/8 3:00,3525
2023/1/8 3:00,2023/1/8 4:00,3548
2023/1/8 4:00,2023/1/8 5:00,3692
2023/1/8 5:00,2023/1/8 6:00,3858
2023/1/8 6:00,2023/1/8 7:00,3979
2023/1/8 7:00,2023/1/8 8:00,4076
2023/1/8 8:00,2023/1/8 9:00,4197
2023/1/8 9:00,2023/1/8 10:00,4292
2023/1/8 10:00,2023/1/8 11:00,4346
2023/1/8 11:00,2023/1/8 12:00,4367
2023/1/8 12:00,2023/1/8 13:00,4379
2023/1/8 13:00,2023/1/8 14:00,4389
2023/1/8 14:00,2023/1/8 15:00,4395
2023/1/8 15:00,2023/1/8 16:00,4359
2023/1/8 16:00,2023/1/8 17:00,4343
2023/1/8 17:00,2023/1/8 18:00,4268
2023/1/8 18:00,2023/1/8 19:00,4221
2023/1/8 19:00,2023/1/8 20:00,4216
2023/1/8 20:00,2023/1/8 21:00,4111
2023/1/8 21:00,2023/1/8 22:00,4063
2023/1/8 22:00,2023/1/8 23:00,4068
2023/1/8 23:00,2023/1/9 0:00,4077
2023/1/9 0:00,2023/1/9 1:00,3990
2023/1/9 1:00,2023/1/9 2:00,3969
2023/1/9 2:00,2023/1/9 3:00,3910
2023/1/9 3:00,2023/1/9 4:00,3916
2023/1/9 4:00,2023/1/9 5:00,4017
2023/1/9 5:00,2023/1/9 6:00,4128
2023/1/9 6:00,2023/1/9 7:00,4132
2023/1/9 7:00,2023/1/9 8:00,4056
2023/1/9 8:00,2023/1/9 9:00,3997
2023/1/9 9:00,2023/1/9 10:00,3907
2023/1/9 10:00,2023/1/9 11:00,3795
2023/1/9 11:00,2023/1/9 12:00,3637
2023/1/9 12:00,2023/1/9 13:00,3488
2023/1/9 13:00,2023/1/9 14:00,3361
2023/1/9 14:00,2023/1/9 15:00,3420
2023/1/9 15:00,2023/1/9 16:00,3428
2023/1/9 16:00,2023/1/9 17:00,3361
2023/1/9 17:00,2023/1/9 18:00,3223
2023/1/9 18:00,2023/1/9 19:00,3112
2023/1/9 19:00,2023/1/9 20:00,2930
