Start time UTC,End time UTC,Solar Panel (MWh/h)
2023/1/9 22:00,2023/1/9 23:00,0
2023/1/9 23:00,2023/1/10 0:00,0
2023/1/10 0:00,2023/1/10 1:00,0
2023/1/10 1:00,2023/1/10 2:00,0
2023/1/10 2:00,2023/1/10 3:00,0
2023/1/10 3:00,2023/1/10 4:00,0
2023/1/10 4:00,2023/1/10 5:00,0
2023/1/10 5:00,2023/1/10 6:00,0
2023/1/10 6:00,2023/1/10 7:00,0
2023/1/10 7:00,2023/1/10 8:00,0
2023/1/10 8:00,2023/1/10 9:00,0
2023/1/10 9:00,2023/1/10 10:00,7.4
2023/1/10 10:00,2023/1/10 11:00,12.4
2023/1/10 11:00,2023/1/10 12:00,7.6
2023/1/10 12:00,2023/1/10 13:00,0
2023/1/10 13:00,2023/1/10 14:00,0
2023/1/10 14:00,2023/1/10 15:00,0
2023/1/10 15:00,2023/1/10 16:00,0
2023/1/10 16:00,2023/1/10 17:00,0
2023/1/10 17:00,2023/1/10 18:00,0
2023/1/10 18:00,2023/1/10 19:00,0
2023/1/10 19:00,2023/1/10 20:00,0
2023/1/10 20:00,2023/1/10 21:00,0
2023/1/10 21:00,2023/1/10 22:00,0
2023/1/10 22:00,2023/1/10 23:00,0
2023/1/10 23:00,2023/1/11 0:00,0
2023/1/11 0:00,2023/1/11 1:00,0
2023/1/11 1:00,2023/1/11 2:00,0
2023/1/11 2:00,2023/1/11 3:00,0
2023/1/11 3:00,2023/1/11 4:00,0
2023/1/11 4:00,2023/1/11 5:00,0
2023/1/11 5:00,2023/1/11 6:00,0
2023/1/11 6:00,2023/1/11 7:00,0
2023/1/11 7:00,2023/1/11 8:00,0
2023/1/11 8:00,2023/1/11 9:00,0.7
2023/1/11 9:00,2023/1/11 10:00,8
2023/1/11 10:00,2023/1/11 11:00,14
2023/1/11 11:00,2023/1/11 12:00,9.5
2023/1/11 12:00,2023/1/11 13:00,0
2023/1/11 13:00,2023/1/11 14:00,0
2023/1/11 14:00,2023/1/11 15:00,0
2023/1/11 15:00,2023/1/11 16:00,0
2023/1/11 16:00,2023/1/11 17:00,0
2023/1/11 17:00,2023/1/11 18:00,0
2023/1/11 18:00,2023/1/11 19:00,0
2023/1/11 19:00,2023/1/11 20:00,0
2023/1/11 20:00,2023/1/11 21:00,0
2023/1/11 21:00,2023/1/11 22:00,0
2023/1/11 22:00,2023/1/11 23:00,0
2023/1/11 23:00,2023/1/12 0:00,0
2023/1/12 0:00,2023/1/12 1:00,0
2023/1/12 1:00,2023/1/12 2:00,0
2023/1/12 2:00,2023/1/12 3:00,0
2023/1/12 3:00,2023/1/12 4:00,0
2023/1/12 4:00,2023/1/12 5:00,0
2023/1/12 5:00,2023/1/12 6:00,0
2023/1/12 6:00,2023/1/12 7:00,0
2023/1/12 7:00,2023/1/12 8:00,0
2023/1/12 8:00,2023/1/12 9:00,0.4
2023/1/12 9:00,2023/1/12 10:00,9.8
2023/1/12 10:00,2023/1/12 11:00,13.1
2023/1/12 11:00,2023/1/12 12:00,10.3
2023/1/12 12:00,2023/1/12 13:00,0
2023/1/12 13:00,2023/1/12 14:00,0
2023/1/12 14:00,2023/1/12 15:00,0
2023/1/12 15:00,2023/1/12 16:00,0
2023/1/12 16:00,2023/1/12 17:00,0
2023/1/12 17:00,2023/1/12 18:00,0
2023/1/12 18:00,2023/1/12 19:00,0
2023/1/12 19:00,2023/1/12 20:00,0
2023/1/12 20:00,2023/1/12 21:00,0
2023/1/12 21:00,2023/1/12 22:00,0
2023/1/12 22:00,2023/1/12 23:00,0
2023/1/12 23:00,2023/1/13 0:00,0
